title,url,summary
智能电网,https://baike.baidu.com/item/%E6%99%BA%E8%83%BD%E7%94%B5%E7%BD%91,"
智能电网就是电网的智能化（智电电力），也被称为“电网2.0”，它是建立在集成的、高速双向通信网络的基础上，通过先进的传感和测量技术、先进的设备技术、先进的控制方法以及先进的决策支持系统技术的应用，实现电网的可靠、安全、经济、高效、环境友好和使用安全的目标，其主要特征包括自愈、激励和包括用户、抵御攻击、提供满足21世纪用户需求的电能质量、容许各种不同发电形式的接入、启动电力市场以及资产的优化高效运行。
"
智能,https://baike.baidu.com/item/%E6%99%BA%E8%83%BD/66637,"
智能，是智力和能力的总称，中国古代思想家一般把智与能看做是两个相对独立的概念。
"
电网,https://baike.baidu.com/item/%E7%94%B5%E7%BD%91,"
电力系统中各种电压的变电所及输配电线路组成的整体，称为电力网。它包含变电、输电、配电三个单元。电力网的任务是输送与分配电能，改变电压。
"
输电,https://baike.baidu.com/item/%E8%BE%93%E7%94%B5,"
电能的传输，是电力系统整体功能的重要组成环节。发电厂与电力负荷中心通常都位于不同地区。在水力、煤炭等一次能源资源条件适宜的地点建立发电厂，通过输电可以将电能输送到远离发电厂的负荷中心，使电能的开发和利用超越地域的限制。与其他能源输送方式相比较，输电具有损耗小、效益高、灵活方便、易于调节控制、减少环境污染等优点。
"
变电,https://baike.baidu.com/item/%E5%8F%98%E7%94%B5,"
变电是指电力系统中，通过一定设备将电压由低等级转变为高等级（升压）或由高等级转变为低等级（降压）的过程。电力系统中发电机的额定电压一般为（15～20）千伏以下。常用的输电电压等级有765千伏、500千伏、220～110千伏、35～60千伏等；配电电压等级有35～60千伏、3 ～10千伏等；用电部门的用电器具有额定电压为 3～15 千伏的高压用电设备和110 伏、220伏、380伏等低压用电设备。所以，电力系统就是通过变电把各不同电压等级部分联接起来形成一个整体。实现变电的场所为变电所。在强制性国家标准GB 50053-94《10kv及以下变电所设计规范》里面规定的术语定义是“10千伏及以下交流电源经电力变压器变压后对用电设备供电”，符合这个原理的就是变电所。
"
安全,https://baike.baidu.com/item/%E5%AE%89%E5%85%A8/32778,"
安全，是一个汉语词语，拼音是ān quán，是指不受威胁，没有危险、危害、损失；保护、保全。分别出自汉代焦赣的《易林·小畜之无妄》、《晋书·慕容垂载记》。当汉语的“安全[1] 
”一词用来译指英文时，可以与其对应的主要有safety和security两个单词，虽然这两个单词的含义及用法有所不同，但都可在不同意义上与中文“安全”相对应。
"
可靠,https://baike.baidu.com/item/%E5%8F%AF%E9%9D%A0,"
1.可以信赖依靠。 清 史致谔《禀左宗棠》：“至属吏中结实可靠之员，职道於十月中旬曾具禀加考密陈。” 老舍 《四世同堂》四七：“她看出来朋友们确是比瑞丰还更亲近，更加可靠。”2.真实可信。 鲁迅《书信集·致台静农》：“最可恨地是所闻的多不可靠。” 曹禺《日出》第二幕：“你怎么知道谣言一定可靠？”
"
四世同堂,https://baike.baidu.com/item/%E5%9B%9B%E4%B8%96%E5%90%8C%E5%A0%82,"
《四世同堂》是中国作家老舍创作的一部百万字的小说。这是一部表现抗战北平沦陷区普通民众生活与抗战的长篇小说，全书共三部。该书以北平小羊圈胡同为背景，通过复杂的矛盾纠葛，以胡同内的祁家为主，钱家、冠家以及其他居民为辅，刻画了当时社会各阶层众多普通人的形象；反抗与顺从的选择，国家与个人的选择种种艰难的选择纷繁地交织在一起，深刻地展示了普通人在大时代历史进程中所走过的艰难曲折的道路。1949年曾在美国出版节译本，书名为《黄色风暴》，被誉为“好评最多的小说之一，也是美国同一时期所出版的最优秀的小说之一”[1] 
。1982年《四世同堂》未删节本出版，才得以全貌为中国读者所知。2016年，《四世同堂》中的《饥荒》的21段到36段，约十万字的英文原稿被找回。[2] 
2017年9月，中国现代文学长篇小说经典《四世同堂》由东方出版中心出版上市。这是该作自发表以来第一次以完整版形式出版。
"
损失,https://baike.baidu.com/item/%E6%8D%9F%E5%A4%B1,"
损失是一个汉语词汇，读音为sǔn shī，指失去东西，不会有补偿。也指损毁丧失，毁坏。损失既可作动词、也可作名词。反义词是收益、收获。
"
配电,https://baike.baidu.com/item/%E9%85%8D%E7%94%B5,"
配电（power distribution）是在电力系统中直接与用户相连并向用户分配电能的环节。配电系统由配电变电所、高压配电线路、配电变压器、低压配电线路以及相应的控制保护设备组成。
"
危险,https://baike.baidu.com/item/%E5%8D%B1%E9%99%A9/3088,"
危险是警告词，指某一系统、产品、或设备或操作的内部和外部的一种潜在的状态，其发生可能造成人员伤害、职业病、财产损失、作业环境破坏的状态，还有是一些机械类的危害。
"
配电变压器,https://baike.baidu.com/item/%E9%85%8D%E7%94%B5%E5%8F%98%E5%8E%8B%E5%99%A8,"
配电变压器[1] 
，简称“配变”，指配电系统中根据电磁感应定律变换交流电压和电流而传输交流电能的一种静止电器。有些地区将35千伏以下（大多数是10KV及以下）电压等级的电力变压器，称为“配电变压器”，简称“配变”。安装“配变”的场所与地方，既是变电所。配电变压器宜采用柱上安装或露天落地安装。详细介绍了其安装方式、安装注意事项、供配方式、容量选择、运行维护等。
"
电能输送,https://baike.baidu.com/item/%E7%94%B5%E8%83%BD%E8%BE%93%E9%80%81/3521056,"
电能输送指由发电厂或电源由某处输送到另一处的一种方式，由于早期技术不成熟电能输送多采用直流输电，而后期逐渐演变成交流传送，交流传送有很多优势，减少了电力输送中的损耗，提高了速度和传送长度。不过依然有一定的损耗，相信以后技术成熟，会出现更加合适的电能传输方式。例如：电能固态压缩方式，太阳能单独采集等。
"
电压,https://baike.baidu.com/item/%E7%94%B5%E5%8E%8B,"
电压（voltage），也称作电势差或电位差，是衡量单位电荷在静电场中由于电势不同所产生的能量差的物理量。其大小等于单位正电荷因受电场力作用从A点移动到B点所做的功，电压的方向规定为从高电位指向低电位的方向。电压的国际单位制为伏特（V，简称伏），常用的单位还有毫伏（mV）、微伏（μV）、千伏（kV）等。此概念与水位高低所造成的“水压”相似。需要指出的是，“电压”一词一般只用于电路当中，“电势差”和“电位差”则普遍应用于一切电现象当中。
"
水压,https://baike.baidu.com/item/%E6%B0%B4%E5%8E%8B,"
定义指水的压强。用容器盛水时，由于水受重力，就有相当于那么多重量的压力，向容器的壁及底面作用。盛在容器中的水，对侧面及底面都有压力作用，对任何方向的面，压力总是垂直于接触面的。而且深度相同时，压强也相同；液体越深，则压强也越大。例如，在一个两端开口的玻璃管的一端加一薄塑料片，开口一端向上，直放入水中时，薄片不会下落。这是因为有水向上托之力（即向上的压力）。然后将水慢慢地一点点灌入玻璃管中，管内的水面未接近管外的水面时，塑料薄片不会掉下。这证明水有向上的压力，给薄片一个支持的力。继续加水至管内外水面相平时，管内水柱向下的压力与管外薄片受到的向上压力相等，由于塑料薄片本身的重量而落下。此时，筒底薄片所受之向下的压力是筒中水柱的重量，所受之向上的压力，为筒所排除水的重量，二者相等而方向相反，遂相消而等于零，薄片是受重力作用而落下。如将玻璃管倾斜放置，其结果也是一样。即水的压力向上，各侧面都有压力作用。
"
智电电力,https://baike.baidu.com/item/%E6%99%BA%E7%94%B5%E7%94%B5%E5%8A%9B,"
智电电力是一家电力科技有限公司。宁波智电电力科技有限公司在西安高新区设有研发中心，公司自成立起，始终致力于在线监测技术的探究与开发。
"
正电荷,https://baike.baidu.com/item/%E6%AD%A3%E7%94%B5%E8%8D%B7,"
用丝绸摩擦过的玻璃棒所带的电荷叫做正电荷，质子是正电荷，而正电荷不一定是质子，对应的电子即是负电荷，或多或少表现出的带正电或带负电 ，世间万物大多为电中性 物体由原子而来，原子又由电子和原子核（中子和质子组成）而来。
"
发电厂,https://baike.baidu.com/item/%E5%8F%91%E7%94%B5%E5%8E%82,"
发电厂（power plant）又称发电站，是将自然界蕴藏的各种一次能源转换为电能（二次能源）的工厂。19世纪末，随着电力需求的增长，人们开始提出建立电力生产中心的设想。电机制造技术的发展，电能应用范围的扩大，生产对电的需要的迅速增长，发电厂随之应运而生。现在的发电厂有多种发电途径：靠火力发电的称火电厂，靠水力发电的称水电厂，还有些靠太阳能（光伏）和风力与潮汐发电的电厂等。而以核燃料为能源的核电厂已在世界许多国家发挥越来越大的作用。
"
电能,https://baike.baidu.com/item/%E7%94%B5%E8%83%BD,"
电能，是指使用电以各种形式做功(即产生能量)的能力。电能既是一种经济、 实用、清洁且容易控制和转换的能源形态，又是电力部门向电力用户提供由发、供、用三方共同保证质量的一种特殊产品( 它同样具有产品的若干特征，如可被测 量、预估、保证或改善。电能被广泛应用在动力、照明、化学、纺织、通信、广播等各个领域，是科学技术发展、人民经济飞跃的主要动力。电能在我们的生活中起到重大的作用。
"
配电线路,https://baike.baidu.com/item/%E9%85%8D%E7%94%B5%E7%BA%BF%E8%B7%AF,"
配电线路（英文：distribution circuit） 是指从降压变电站把电力送到配电变压器或将配电变电站的电力送到用电单位的线路。
"
中子,https://baike.baidu.com/item/%E4%B8%AD%E5%AD%90/466557,"
中子（Neutron）是组成原子核的核子之一。中子是组成原子核构成化学元素不可缺少的成分（注意：氕原子不含中子），虽然原子的化学性质是由核内的质子数目确定的，但是如果没有中子，由于带正电荷质子间的排斥力（质子带正电，中子不带电），就不可能构成除只有一个质子的氢之外的其他元素。中子是由两个下夸克和一个上夸克组成。
"
照明,https://baike.baidu.com/item/%E7%85%A7%E6%98%8E/899297,"
照明是利用各种光源照亮工作和生活场所或个别物体的措施。利用太阳和天空光的称“天然采光”；利用人工光源的称“人工照明”。照明的首要目的是创造良好的可见度和舒适愉快的环境。
"
质子,https://baike.baidu.com/item/%E8%B4%A8%E5%AD%90/65645,"
质子(proton)是一种带 1.6 × 10-19 库仑(C)正电荷的亚原子粒子，直径约 1.6~1.7×10−15 m ，质量是938百万电子伏特/c²(MeV/c²)，即1.672621637（83）×10-27千克，大约是电子质量的1836.5倍（电子的质量为9.10938215（45）×10-31千克），质子比中子稍轻（中子的质量为1.674927211（84）×10-27千克）。质子属于重子类，由两个上夸克和一个下夸克通过胶子在强相互作用下构成。原子核中质子数目决定其化学性质和它属于何种化学元素。
"
